Ticker,Company,score,Close,Market Cap,Change 1M,total yield,ms debt,roic v2,book price,sic,price251ago,opInc,fcf yield,dolVol,comStockEq,ms cem,total return,spitz roic,ms ce,momentum,Sector,Industry,Description,rebalance
AMGN,Amgen,0.00,138.45,124834081190.19,-15.74,0.05,35322999716.87,0.33,0.30,62610999021.72,151.03,9342000164.17,0.08,520659932.27,30772999795.76,37979999457.52,-0.06,0.15,3485000004.68,0.79,Healthcare,Biotechnology,A biotechnology company,False
MO,Altria Group,0.00,65.84,123542226879.38,6.21,0.04,13878000007.41,0.60,0.02,14523999969.59,49.90,8733999999.32,0.04,363849656.88,2943999975.36,2297999973.29,0.37,0.60,2297999973.29,0.94,Consumer Defensive,Tobacco Products,Produces & sells tobacco products,False
MDT,Medtronic,0.00,84.34,119399237322.36,1.37,0.05,32070999717.28,0.08,0.44,79835000580.67,73.95,5327000051.28,0.04,369374443.08,50824000648.28,12809999800.31,0.16,0.07,3059999970.53,0.95,Healthcare,Medical Devices,Provides medical technology,False
MA,MasterCard,0.00,105.70,111717359615.07,4.29,0.04,3326000068.61,2.15,0.05,4340000101.33,100.68,5504999964.69,0.04,358475154.36,6218999898.41,6979000101.23,0.06,1.27,5204999896.95,0.99,Financial Services,Credit Services,A payment solutions company,False
SLB,Schlumberger,0.00,79.84,109364138432.81,-2.27,0.03,21277000003.96,0.07,0.38,53094999804.09,78.48,3448000008.81,0.04,450902437.37,42574000013.84,10755999807.67,0.04,0.07,10755999807.67,0.95,Energy,Oil & Gas - Services,Offers technology and project management services,False
KHC,Kraft Heinz,0.00,88.34,108991928735.44,1.26,0.03,32680000057.68,0.07,0.54,86401999453.56,65.78,5848999939.16,0.03,212853036.94,57642000328.91,3920000007.58,0.39,0.07,3920000007.58,0.98,Consumer Defensive,Consumer Packaged Goods,A packaged food and beverage company,False
MMM,3M,0.00,171.03,106513462082.03,0.80,0.06,12360999760.46,0.33,0.12,22101000008.61,162.50,7057999914.47,0.05,309517219.01,12047999987.78,2665999962.40,0.08,0.32,2307999963.52,0.94,Industrials,Industrial Products,A diversified technology company,False
GILD,Gilead Sciences,0.00,74.04,104411381421.19,0.30,0.16,22126999794.46,0.71,0.17,31177999591.42,106.02,20395000318.13,0.17,732053965.47,15536000278.32,8751999835.35,-0.29,0.65,6484999904.73,0.69,Healthcare,Biotechnology,A biopharmaceutical company,False
ABBV,AbbVie,0.00,58.81,102712165072.97,-5.74,0.10,37309999608.52,0.26,0.07,37561000314.35,64.41,9138999861.32,0.07,436046976.52,6469000092.14,7950000062.42,-0.05,0.24,6218000072.94,0.87,Healthcare,Drug Manufacturers,A research-based biopharmaceutical company,False
QCOM,Qualcomm,0.00,68.27,100944913905.13,3.30,0.06,11756999959.84,0.26,0.32,37589000777.62,37.66,6495999913.31,0.07,622605743.69,31778000375.64,18647999751.05,0.87,0.17,5945999879.24,0.97,Technology,Semiconductors,Develops digital communication technology,False
MCD,McDonald's,0.00,114.11,98443837508.24,0.38,0.15,26006999980.25,0.35,-0.02,22116199780.07,113.32,7655899821.12,0.05,516294578.06,-1624099975.43,2266700031.00,0.04,0.35,2266700031.00,0.87,Consumer Cyclical,Restaurants,Franchises and operates restaurants,False
UPS,United Parcel Service,0.00,112.03,96025262180.25,3.06,0.05,15326000010.67,0.63,0.03,14769999447.15,104.66,7946000100.81,0.04,250860574.48,2742999995.58,5357999901.81,0.10,0.54,3299000046.98,1.00,Industrials,Transportation & Logistics,A package delivery company,False
CVS,CVS Health,0.00,73.53,94882473352.41,-14.90,0.10,28636000044.27,0.15,0.44,62269000451.12,98.38,9586000068.69,0.09,562515826.28,34759999600.18,1206999991.67,-0.24,0.15,1127000008.71,0.69,Healthcare,Health Care Plans,Integrated pharmacy health care provider,False
BMY,Bristol-Myers Squibb,0.00,53.16,90092690364.03,7.29,0.03,6825999992.68,0.21,0.18,19006999871.93,71.44,3548999959.39,0.01,721062965.15,15612999755.20,5560000044.36,-0.24,0.19,3432000012.63,0.69,Healthcare,Drug Manufacturers,A biopharmaceutical company,False
HON,Honeywell International,0.00,110.62,88710378417.90,4.58,0.04,15858000228.03,0.26,0.23,28617999916.02,101.97,6803000112.26,0.05,383215578.24,19191000013.34,8620000010.71,0.11,0.24,6430999928.10,0.93,Industrials,Industrial Products,A diversified technology and manufacturing company,False
LLY,Eli Lilly,0.00,74.02,88594475450.09,-9.52,0.03,9348799845.06,0.00,0.19,21449000023.82,81.56,10100028.28,0.04,283283861.00,15589199971.58,4226800019.76,-0.07,0.00,3488999952.82,0.86,Healthcare,Drug Manufacturers,A drug manufacturing company,False
NKE,Nike,0.00,51.08,88326620831.16,-1.43,0.06,2058999960.16,0.46,0.14,11564999903.79,72.50,4309999961.44,0.03,515658623.26,12164999774.94,4786999965.31,-0.29,0.37,2659000042.21,0.76,Consumer Cyclical,Manufacturing - Apparel & Furniture,"Provides athletic footwear, apparel & accessories",False
WBA,Walgreens Boots Alliance,0.00,80.09,87256435435.24,2.57,0.03,19028000260.51,0.15,0.34,39101000000.71,84.21,6001000099.90,0.08,361989565.15,29880000384.97,9807000083.57,-0.03,0.15,9807000083.57,0.92,Consumer Defensive,Retail - Defensive,Operates drug-stores chain,False
UTX,United Technologies,0.00,103.37,85031776467.32,4.66,0.10,22665000433.66,0.16,0.34,44745001402.90,98.62,6924999815.77,0.03,350690719.04,29187000334.73,7107000065.43,0.07,0.16,7107000065.43,0.94,Industrials,Aerospace & Defense,Provides products & services to aerospace industry,False
BA,Boeing,0.00,142.20,82182829305.79,6.33,0.11,10456000206.53,1.67,0.02,3559000259.08,144.23,4812000110.23,0.09,445585426.68,2089000042.77,9668000114.76,0.01,1.35,8985999931.03,0.95,Industrials,Aerospace & Defense,An aerospace & defense company,False
UNP,Union Pacific,0.00,90.60,81234084120.78,-6.15,0.06,15611999824.57,0.22,0.27,33986999612.30,83.81,7225000024.25,0.04,345287692.30,20283999580.44,2239000020.52,0.11,0.21,1909000026.32,0.92,Industrials,Transportation & Logistics,A rail transportation company,False
CELG,Celgene,0.00,108.45,81022741384.86,6.70,0.03,14303499815.30,0.24,0.07,14431200027.99,113.13,3136899956.57,0.04,409769637.40,5650299943.46,6868599917.87,-0.04,0.22,5522599912.79,0.89,Healthcare,Biotechnology,A biopharmaceutical company,False
SBUX,Starbucks,0.00,54.62,79401723295.45,3.21,0.04,3602199983.86,0.58,0.07,7357400121.27,66.78,4172000054.36,0.04,467174091.73,5884000111.88,2263199967.82,-0.17,0.57,2128799979.82,0.87,Consumer Cyclical,Restaurants,A retailer of specialty coffee,False
ACN,Accenture,0.00,119.81,78766482993.43,2.43,0.04,27229999.67,1.80,0.09,2676883067.46,105.78,4810444986.52,0.05,278799105.45,7555262137.94,4908483941.36,0.15,1.80,4905609090.06,0.98,Technology,Application Software,A management consulting & outsourcing company,False
USB,US Bancorp,0.00,44.98,73407676559.50,3.90,0.05,53672999770.80,0.09,0.55,72267001734.29,41.24,8109999871.44,0.07,289718130.69,42257999868.30,,0.12,0.11,23663999523.48,1.00,Financial Services,Banks,Provides financial services,False
CHTR,Charter Communications,0.00,262.26,73142386498.37,1.71,0.01,61995999387.08,0.02,0.57,101107997893.18,237.96,2239000020.52,-0.57,657724397.21,40276999862.28,1165000009.31,0.10,0.02,1165000009.31,0.95,Communication Services,Communication Services,Provides cable services,False
PCLN,Priceline Group,0.00,"1,578.13",72731270590.65,8.16,0.02,7255204966.69,0.28,0.13,13836191749.34,1558.89,3429332088.26,0.04,631473549.85,9274704844.43,4370959941.41,0.01,0.25,2693717989.13,1.00,Consumer Cyclical,Travel & Leisure,Provides online travel and related services,False
LMT,Lockheed Martin,0.00,239.19,72612574247.55,3.17,0.06,14304000106.22,0.42,0.03,13732000287.94,227.46,5732000018.38,0.07,634493500.59,2323000011.25,2894999982.41,0.08,0.42,2894999982.41,0.90,Unknown,Unknown,A security and aerospace company,False
TXN,Texas Instruments,0.00,69.83,70405262101.11,1.56,0.05,3610999993.67,0.43,0.15,12527999961.95,47.39,4621999987.40,0.05,327894442.81,10286000114.54,3137000020.99,0.51,0.37,1369000017.63,0.97,Technology,Semiconductors,Designs and makes semiconductors,False
BIIB,Biogen,0.00,295.60,68591373277.69,-0.91,0.04,6529599988.78,0.38,0.19,16559600304.37,296.15,5432397071.29,0.05,410499848.42,12114800215.80,4315999974.78,-0.00,0.33,2084800018.70,0.90,Healthcare,Biotechnology,A biopharmaceutical company,False
MDLZ,Mondelez International,0.00,46.01,68287986704.95,8.69,0.05,17106000306.73,0.04,0.39,42929001110.04,42.83,1504999976.49,0.02,332893654.56,27509000213.82,1686000031.91,0.09,0.04,1686000031.91,1.00,Consumer Defensive,Consumer Packaged Goods,Manufactures & markets food & beverage products,False
RAI,Reynolds American,0.00,55.41,67299139599.60,19.44,0.03,13179000070.42,0.30,0.27,32824999428.41,31.14,9772999854.35,0.01,347808938.73,21543999615.67,1958999979.40,0.83,0.30,1898000013.57,1.00,Consumer Defensive,Tobacco Products,Manufactures cigarettes & other tobacco products,False
COST,Costco Wholesale,0.00,146.09,66809377687.21,-3.26,0.02,5161000015.76,0.29,0.19,13861000079.90,152.69,3671999997.15,0.01,352876356.71,12078999935.68,4728999980.01,-0.03,0.27,3379000018.19,0.86,Consumer Defensive,Retail - Defensive,Operates membership warehouses,False
CL,Colgate-Palmolive,0.00,71.59,66095300664.58,-0.85,0.04,6523000111.75,0.54,-0.00,5092000197.27,63.74,2742999995.58,0.04,211568396.00,-132999997.43,1297999984.03,0.15,0.54,1297999984.03,0.95,Consumer Defensive,Consumer Packaged Goods,A consumer products company,False
GS,Goldman Sachs Group,0.00,181.92,65388798785.42,7.62,0.10,255889000778.83,0.02,1.05,232261001794.48,189.95,7978999919.42,0.07,432787883.32,75906999221.44,,-0.03,0.03,99534998649.49,0.92,Financial Services,Brokers & Exchanges,An investment banking firm,False
SPG,Simon Property Group,0.00,183.25,65049087572.92,-6.29,0.04,23078515203.83,0.10,0.08,26849278634.64,189.02,2730057997.00,0.04,274836800.34,4585510053.33,814747005.22,0.00,0.10,814747005.22,0.81,Real Estate,REITs,A real estate investment trust,False
AIG,American International Gr,0.00,59.50,63532961985.86,-0.60,0.21,32277000295.42,0.00,1.45,118442003633.40,62.52,449000007.35,0.03,349427228.11,88663001232.90,13242999753.75,-0.03,0.00,2497999971.66,0.93,Financial Services,Insurance,Provides insurance and related services,False
LOW,Lowe's Companies,0.00,66.81,63159158123.05,-4.68,0.08,15810999722.86,0.26,0.12,20735999513.79,75.71,5404000000.05,0.07,417532555.08,6912999938.42,2156000035.29,-0.10,0.26,1988000035.03,0.81,Consumer Cyclical,Retail - Apparel & Specialty,A home improvement retailer,False
TMO,Thermo Fisher Scientific,0.00,152.56,62711452756.26,-1.51,0.02,18912499839.67,0.06,0.36,38601099057.59,140.41,2386799965.12,0.05,244012445.67,21658600273.67,1969999962.74,0.09,0.06,1969999962.74,0.96,Healthcare,Medical Diagnostics & Research,Provides analytical instruments,False
ABT,Abbott Laboratories,0.00,39.83,62166106338.50,-3.23,0.05,8510000113.80,0.12,0.35,26786000193.97,52.79,3051999951.07,0.03,369469821.76,20776000149.25,4507000018.78,-0.23,0.11,2500000009.85,0.87,Healthcare,Medical Devices,Provides health care products,False
TWX,Time Warner,0.00,87.87,61924020401.77,11.84,0.06,24471000175.11,0.16,0.36,46441000183.14,61.87,7242000078.43,0.06,509498524.23,24278000500.56,2307999963.52,0.44,0.16,2307999963.52,0.98,Consumer Cyclical,Entertainment,A media and entertainment company,False
MS,Morgan Stanley,0.00,34.10,61292595614.00,5.97,0.08,164841002053.56,0.03,1.09,191918001234.46,37.34,8041000121.00,0.28,349290738.63,69628998862.83,,-0.07,0.04,42552000647.16,0.97,Financial Services,Brokers & Exchanges,Provides financial services,False
AXP,American Express,0.00,67.07,59158928468.85,10.20,0.09,48000000574.15,0.12,0.34,42000001054.45,75.66,8388999796.56,0.10,292320995.44,21000000313.24,,-0.10,0.20,26999999629.70,0.92,Financial Services,Credit Services,Credit payment card & travel services,False
BLK,BlackRock,0.00,353.49,58963876742.78,0.46,0.05,4949999966.22,0.16,0.49,28280999474.91,352.57,4481999960.42,0.04,218589795.70,28567999762.80,5236999891.57,0.03,0.16,5236999891.57,0.94,Financial Services,Asset Management,A publicly traded investment management firm,False
DD,E.I. du Pont de Nemours,0.00,69.26,58553545945.41,0.46,0.03,11356000156.93,0.19,0.16,16417999988.64,64.86,2892999992.35,0.03,183223497.72,9514000033.31,5531999915.68,0.09,0.18,4452000010.73,0.93,Basic Materials,Agriculture,A science and technology based company,False
CB,Chubb,0.00,125.38,58437233541.33,1.33,0.02,13120999961.16,0.07,0.83,60622999746.48,114.96,3903999903.29,0.09,171625032.78,48371999128.55,4418000053.66,0.11,0.06,870000001.55,0.96,Financial Services,Insurance - Property & Casualty,Provides insurance & reinsurance products,False
DOW,Dow Chemical,0.00,53.43,58403614653.40,-0.17,0.04,21291999674.27,0.13,0.42,39294999803.92,50.10,5032000045.36,0.03,317451662.03,25035000219.44,7032000010.63,0.10,0.13,7032000010.63,0.94,Basic Materials,Chemicals,Manufactures chemical and plastic products,False
SHPG,Shire,0.00,167.71,58170932918.28,-11.88,0.01,23725999892.27,0.01,0.59,52783100673.40,189.71,590699997.76,0.05,219074877.79,29785700045.00,728599994.85,-0.11,0.01,728599994.85,0.78,Healthcare,Biotechnology,A biotech company,False
EPD,Enterprise Products,0.00,24.77,57872140340.53,-9.17,0.06,24163000036.86,0.08,0.42,45925100021.64,32.17,3592000019.22,0.01,125911934.82,21819200345.38,57099998.96,-0.18,0.08,57099998.96,0.83,Energy,Oil & Gas - Midstream,A midstream energy company,False
NEE,NextEra Energy,0.00,125.17,56508527732.35,3.32,0.03,31676999915.87,0.08,0.41,54903000730.38,98.74,4558000035.94,0.04,253996252.77,23907000089.75,681000012.82,0.30,0.08,681000012.82,0.96,Utilities,Utilities - Regulated,An electric power company,False
DUK,Duke Energy,0.00,79.65,55142238013.30,4.93,0.04,50176000632.50,0.07,0.74,84485999038.06,61.42,5477000053.94,-0.01,233821312.17,40489000356.84,6178999915.24,0.35,0.07,6178999915.24,0.91,Utilities,Utilities - Regulated,Operates as an energy company,False
DHR,Danaher,0.00,78.93,54131306993.91,3.39,0.01,8312199907.88,0.12,0.43,30532399777.17,69.42,3594499985.25,0.06,237374291.36,23191599565.77,971400010.99,0.15,0.12,971400010.99,0.96,Industrials,Industrial Products,Manufactures industrial & commercial products,False
ADBE,Adobe Systems,0.00,108.39,53969021194.04,0.95,0.01,1916591004.62,0.28,0.14,8426865106.08,88.33,1311756015.08,0.03,233186523.50,7277946128.69,4446398016.78,0.23,0.16,767672008.60,0.98,Technology,Application Software,Provides software for consumers and professionals,False
STO,Statoil,0.00,16.75,53569271707.17,-0.59,0.05,33262000168.76,0.04,0.75,65274000460.24,12.97,2128999988.21,-0.04,41614761.87,40049999495.90,17250000107.90,0.36,0.03,8037999967.93,0.94,Energy,Oil & Gas - Integrated,An oil & gas exploration and production company,False
CAT,Caterpillar,0.00,84.68,51862201284.56,-3.19,0.04,37110000103.47,0.04,0.32,46642001000.90,67.77,1646000009.13,0.05,378484639.27,15645000141.87,6113000028.10,0.30,0.04,6113000028.10,0.95,Industrials,Farm & Construction Machinery,Manufacturer of construction and mining equipment,False
KMI,Kinder Morgan,0.00,20.41,51633638412.48,-1.97,0.03,39652000246.12,0.03,0.76,73900999656.37,40.21,2394000014.30,0.05,338090071.67,34605999306.50,356999999.03,-0.46,0.03,356999999.03,0.84,Energy,Oil & Gas - Midstream,An energy infrastructure company,False
GM,General Motors,0.00,31.73,49622255868.98,-0.50,0.09,79099999154.20,0.10,0.93,107887998064.64,42.65,9883999995.84,0.03,390254614.08,44719999858.98,24103999503.98,-0.22,0.09,15931999853.21,0.87,Consumer Cyclical,Autos,"Designs & sells cars, trucks & automobile parts",False
TJX,TJX Companies,0.00,73.23,49103906468.33,-1.35,0.05,1615951998.63,0.99,0.09,4263659880.71,71.27,3791965917.90,0.04,255780204.20,4451355908.39,2224800974.10,0.04,0.89,1803647966.76,0.88,Consumer Cyclical,Retail - Apparel & Specialty,An off-price apparel & home fashions retailer,False
MET,MetLife,0.00,47.88,48822899715.15,1.21,0.05,19922000286.94,0.07,1.49,82325002975.60,53.57,4694999927.99,0.26,295567981.32,78286001521.25,27538000430.47,-0.08,0.06,15882999728.79,0.93,Financial Services,Insurance - Life,Provides insurance & employee benefit programs,False
SO,Southern,0.00,50.76,48304012089.54,2.73,0.04,45474000346.43,0.07,0.49,67352000640.79,36.54,4675999889.52,-0.08,286694683.64,24547000190.51,2668999952.99,0.45,0.07,2668999952.99,0.93,Utilities,Utilities - Regulated,Sells electricity,False
AMT,American Tower,0.00,115.93,48220692277.53,6.42,0.02,18679136068.74,0.07,0.14,24856099954.33,96.57,1765857031.45,0.04,227219774.27,6707321951.21,530357991.52,0.22,0.07,530357991.52,0.98,Communication Services,Communication Services,Develops & operates wireless communications sites,False
F,Ford Motor,0.00,11.48,47957016315.18,-4.25,0.06,137223997550.99,0.10,0.69,155367998506.18,31.09,13151000063.75,0.27,377360126.58,31483999593.08,34164999973.42,-0.61,0.09,13340000243.72,0.79,Consumer Cyclical,Autos,Producer of cars and trucks,False
ABB,ABB,0.00,20.90,47878741227.49,-6.57,0.08,7720999994.44,0.17,0.30,17622999909.66,9.73,2656000024.71,0.08,37240127.25,13439999950.69,5365000088.32,1.17,0.15,3537999975.20,0.91,Industrials,Industrial Products,A power and automation company,False
GD,General Dynamics,0.00,153.78,47367069007.20,2.79,0.06,3885999936.09,0.33,0.24,12900000245.79,146.94,4227999940.90,0.02,190017092.08,11317000049.54,2302999952.22,0.07,0.33,2302999952.22,0.99,Industrials,Aerospace & Defense,An aerospace and defense company,False
D,Dominion Resources,0.00,75.50,46475419370.15,5.32,0.04,29572000171.03,0.08,0.30,43447001233.42,64.14,3433000002.02,-0.05,189548848.89,14252000037.45,376999996.45,0.22,0.08,376999996.45,0.96,Utilities,Utilities - Regulated,A producer and transporter of energy,False
FDX,FedEx,0.00,181.31,46422846388.04,4.15,0.06,13781999905.25,0.13,0.29,24934999742.39,169.04,3196999943.65,0.01,255137173.13,14141999882.49,2989000004.53,0.08,0.13,2989000004.53,1.00,Industrials,Transportation & Logistics,Provides transportation & e-commerce services,False
LVS,Las Vegas Sands,0.00,59.48,45730123123.75,0.88,0.05,9756923861.23,0.18,0.13,14310406089.77,32.74,2525888998.42,0.05,216391104.61,6343882075.41,1790400002.10,0.90,0.18,1790400002.10,1.00,Consumer Cyclical,Travel & Leisure,"Owns, operates and develops casino resorts",False
